engine_size,horsepower,weight,fuel_consumption,age,doors,brand,fuel_type,country,dealer_id,price
2.100000000000001,141.0,1002,8.6,8,3,Hyundai,hybrid,Spain,101.0,12225
2.300000000000001,171.0,1166,8.9,3,5,Seat,hybrid,Czech Republic,101.0,16384
2.000000000000001,137.0,1020,8.4,5,5,Renault,hybrid,Spain,101.0,12927
1.6000000000000005,116.0,814,7.6,3,3,Opel,diesel,Germany,101.0,11433
2.9000000000000017,196.0,1417,10.2,12,5,Seat,gasoline,Sweden,101.0,15268
2.100000000000001,139.0,1084,8.4,2,5,Audi,gasoline,Italy,101.0,14993
1.4000000000000004,100.0,654,7.0,7,5,Volvo,diesel,Italy,101.0,7357
2.5000000000000013,179.0,1274,9.4,11,5,Ford,gasoline,Germany,101.0,13895
1.3000000000000003,99.0,648,6.7,11,5,Seat,diesel,Sweden,101.0,6475
1.4000000000000004,87.0,686,,12,3,Opel,diesel,Germany,101.0,4439
2.000000000000001,151.0,1039,8.3,3,5,Hyundai,gasoline,France,101.0,13740
1.5000000000000004,109.0,791,7.3,11,3,Kia,diesel,Spain,101.0,5852
3.0000000000000018,198.0,1483,10.4,14,5,Renault,diesel,South Korea,101.0,13819
2.5000000000000013,,1273,9.4,4,3,Skoda,gasoline,Spain,101.0,16324
2.6000000000000014,190.0,1276,9.3,15,3,Peugeot,gasoline,Germany,101.0,11829
2.8000000000000016,206.0,1422,10.0,11,5,Opel,hybrid,France,101.0,16776
2.9000000000000017,191.0,1484,10.2,11,5,Opel,gasoline,France,101.0,15093
1.3000000000000003,103.0,691,7.1,1,5,Mercedes,gasoline,Italy,101.0,11209
2.100000000000001,158.0,1019,8.5,2,5,BMW,diesel,Japan,101.0,14906
1.9000000000000008,134.0,964,7.9,11,5,Volkswagen,gasoline,Japan,101.0,8236
1.5000000000000004,117.0,702,7.1,11,5,Fiat,hybrid,Germany,101.0,6525
1.0,74.0,519,6.2,12,3,BMW,gasoline,Germany,101.0,3033
2.200000000000001,167.0,1129,8.8,0,3,Volkswagen,diesel,Spain,101.0,16716
1.2000000000000002,80.0,621,6.9,0,5,Volkswagen,gasoline,Sweden,101.0,9749
3.300000000000002,236.0,1627,10.7,1,3,Ford,gasoline,France,101.0,24422
3.400000000000002,235.0,1724,10.9,10,3,Hyundai,hybrid,South Korea,101.0,19865
